student_number,day,start_time,end_time,semester,academic year
1511018,Wednesday,10:00 AM,13:00 pm,1st semester ,2019-2020
1511018,Wednesday,11:00 AM,13:00 pm,1st semester ,2019-2020
1511018,Wednesday,12:00 PM,13:00 pm,1st semester ,2019-2020
1511018,Wednesday,13:00 pm,13:00 pm,1st semester ,2019-2020
1513057,Wednesday,14:00 pm,15:30 pm,1st semester ,2019-2020
1513057,Wednesday,15:00 pm,15:30 pm,1st semester ,2019-2020
1513057,Wednesday,15:30 pm,15:30 pm,1st semester ,2019-2020
1511894,Wednesday,20:00 pm,21:30 pm,1st semester ,2019-2020
1511894,Wednesday,21:00 pm,21:30 pm,1st semester ,2019-2020
1511894,Wednesday,21:30 pm,21:30 pm,1st semester ,2019-2020
1813970,Wednesday,11:30 PM,17:30 pm,1st semester ,2019-2020
1813970,Wednesday,12:30 PM,17:30 pm,1st semester ,2019-2020
1813970,Wednesday,13:30 pm,17:30 pm,1st semester ,2019-2020
1813970,Wednesday,14:30 pm,17:30 pm,1st semester ,2019-2020
1813970,Wednesday,15:030 pm,17:30 pm,1st semester ,2019-2020
1813970,Wednesday,16:30 pm,17:30 pm,1st semester ,2019-2020
1813970,Wednesday,17:30 pm,17:30 pm,1st semester ,2019-2020
1211256,Wednesday,11:30 AM,13:30 pm,1st semester ,2019-2020
1211256,Wednesday,12:30 PM,13:30 pm,1st semester ,2019-2020
1211256,Wednesday,13:30 pm,13:30 pm,1st semester ,2019-2020
1811045,Wednesday,15:00 pm,19:00 pm,1st semester ,2019-2020
1811045,Wednesday,16:00 pm,19:00 pm,1st semester ,2019-2020
1811045,Wednesday,16:30 pm,19:00 pm,1st semester ,2019-2020
1811045,Wednesday,19:00 pm,19:00 pm,1st semester ,2019-2020
1710267,Wednesday,13:00 pm,19:30 pm,1st semester ,2019-2020
1710267,Wednesday,13:30 pm,19:30 pm,1st semester ,2019-2020
1710267,Wednesday,18:00 pm,19:30 pm,1st semester ,2019-2020
1710267,Wednesday,19:00 pm,19:30 pm,1st semester ,2019-2020
1710267,Wednesday,19:30 pm,19:30 pm,1st semester ,2019-2020
1810263,Wednesday,14:00 pm,16:30 pm,1st semester ,2019-2020
1810263,Wednesday,15:00 pm,16:30 pm,1st semester ,2019-2020
1810263,Wednesday,16:00 pm,16:30 pm,1st semester ,2019-2020
1810263,Wednesday,16:30 pm,16:30 pm,1st semester ,2019-2020
1512280,Wednesday,14:00 pm,19:30 pm,1st semester ,2019-2020
1512280,Wednesday,15:00 pm,19:30 pm,1st semester ,2019-2020
1512280,Wednesday,16:00 pm,19:30 pm,1st semester ,2019-2020
1512280,Wednesday,17:00 pm,19:30 pm,1st semester ,2019-2020
1512280,Wednesday,17:30 pm,19:30 pm,1st semester ,2019-2020
1512280,Wednesday,19:00 pm,19:30 pm,1st semester ,2019-2020
1512280,Wednesday,19:30 pm,19:30 pm,1st semester ,2019-2020
1413348,Wednesday,11:30 AM,16:30 pm,1st semester ,2019-2020
1413348,Wednesday,12:30 PM,16:30 pm,1st semester ,2019-2020
1413348,Wednesday,13:30 pm,16:30 pm,1st semester ,2019-2020
1413348,Wednesday,14:30 pm,16:30 pm,1st semester ,2019-2020
1413348,Wednesday,15:30 pm,16:30 pm,1st semester ,2019-2020
1413348,Wednesday,16:30 pm,16:30 pm,1st semester ,2019-2020
1511846,Wednesday,11:30 AM,20:30 pm,1st semester ,2019-2020
1511846,Wednesday,15:30 pm,20:30 pm,1st semester ,2019-2020
1511846,Wednesday,16:30 pm,20:30 pm,1st semester ,2019-2020
1511846,Wednesday,17:30 pm,20:30 pm,1st semester ,2019-2020
1511846,Wednesday,18:30 pm,20:30 pm,1st semester ,2019-2020
1511846,Wednesday,19:30 pm,20:30 pm,1st semester ,2019-2020
1511846,Wednesday,20:30 pm,20:30 pm,1st semester ,2019-2020
1510941,Wednesday,18:00 pm,19:30 pm,1st semester ,2019-2020
1510941,Wednesday,19:00 pm,19:30 pm,1st semester ,2019-2020
1510941,Wednesday,19:30 pm,19:30 pm,1st semester ,2019-2020
1810806,Wednesday,7:30 AM,9:30 AM,1st semester ,2019-2020
1810806,Wednesday,8:30 AM,9:30 AM,1st semester ,2019-2020
1810806,Wednesday,9:30 AM,9:30 AM,1st semester ,2019-2020
1810806,Wednesday,10:30 AM,10:30 AM,1st semester ,2019-2020
1511038,Wednesday,14:00 pm,16:30 pm,1st semester ,2019-2020
1511038,Wednesday,15:00 pm,16:30 pm,1st semester ,2019-2020
1511038,Wednesday,16:00 pm,16:30 pm,1st semester ,2019-2020
1511038,Wednesday,16:30 pm,16:30 pm,1st semester ,2019-2020
1812924,Wednesday,8:00 AM,12:30 PM,1st semester ,2019-2020
1812924,Wednesday,9:00 AM,12:30 PM,1st semester ,2019-2020
1812924,Wednesday,9:30 AM,12:30 PM,1st semester ,2019-2020
1812924,Wednesday,12:00 PM,12:30 PM,1st semester ,2019-2020
1812924,Wednesday,12:30 PM,12:30 PM,1st semester ,2019-2020
1513415,Wednesday,14:00 pm,16:30 pm,1st semester ,2019-2020
1513415,Wednesday,15:00 pm,16:30 pm,1st semester ,2019-2020
1513415,Wednesday,16:00 pm,16:30 pm,1st semester ,2019-2020
1513415,Wednesday,16:30 pm,16:30 pm,1st semester ,2019-2020
1512327,Wednesday,13:00pm,15:00 pm,1st semester ,2019-2020
1512327,Wednesday,14:00 pm,15:00 pm,1st semester ,2019-2020
1512327,Wednesday,15:00 pm,15:00 pm,1st semester ,2019-2020
1812644,Wednesday,14:00 pm,18:00 pm,1st semester ,2019-2020
1812644,Wednesday,15:00 pm,16:30 pm,1st semester ,2019-2020
1812644,Wednesday,16:00 pm,16:30 pm,1st semester ,2019-2020
1812644,Wednesday,16:30 pm,16:30 pm,1st semester ,2019-2020
1810972,Wednesday,14:00 pm,18:00 pm,1st semester ,2019-2020
1810972,Wednesday,15:00 pm,18:00 pm,1st semester ,2019-2020
1810972,Wednesday,16:00 pm,18:00 pm,1st semester ,2019-2020
1810972,Wednesday,17:00 pm,18:00 pm,1st semester ,2019-2020
1810972,Wednesday,18:00 pm,18:00 pm,1st semester ,2019-2020
1811047,Wednesday,13:00 pm,20:30 pm,1st semester ,2019-2020
1811047,Wednesday,13:30 pm,20:30 pm,1st semester ,2019-2020
1811047,Wednesday,19:00 pm,20:30 pm,1st semester ,2019-2020
1811047,Wednesday,20:00 pm,20:30 pm,1st semester ,2019-2020
1811047,Wednesday,20:30 pm,20:30 pm,1st semester ,2019-2020
1830026,Wednesday,10:00 AM,12:30 PM,1st semester ,2019-2020
1830026,Wednesday,11:00 AM,12:30 PM,1st semester ,2019-2020
1830026,Wednesday,12:00 PM,12:30 PM,1st semester ,2019-2020
1830026,Wednesday,12:30 PM,12:30 PM,1st semester ,2019-2020
1814012,Wednesday,7:30 AM,20:30 pm,1st semester ,2019-2020
1814012,Wednesday,8:30 AM,20:30 pm,1st semester ,2019-2020
1814012,Wednesday,9:30 AM,20:30 pm,1st semester ,2019-2020
1814012,Wednesday,20:00 pm,20:30 pm,1st semester ,2019-2020
1814012,Wednesday,20:30 pm,20:30 pm,1st semester ,2019-2020
1813690,Wednesday,7:30 AM,17:30 pm,1st semester ,2019-2020
1813690,Wednesday,8:30 AM,17:30 pm,1st semester ,2019-2020
1813690,Wednesday,9:30 AM,17:30 pm,1st semester ,2019-2020
1813690,Wednesday,15:30 pm,17:30 pm,1st semester ,2019-2020
1813690,Wednesday,16:30 pm,17:30 pm,1st semester ,2019-2020
1813690,Wednesday,17:30 pm,17:30 pm,1st semester ,2019-2020
1811280,Wednesday,14:00 pm,16:30 pm,1st semester ,2019-2020
1811280,Wednesday,15:00 pm,16:30 pm,1st semester ,2019-2020
1811280,Wednesday,16:00 pm,16:30 pm,1st semester ,2019-2020
1811280,Wednesday,16:30 pm,16:30 pm,1st semester ,2019-2020
1813001,Wednesday,7:30 AM,20:00 pm,1st semester ,2019-2020
1813001,Wednesday,8:00 AM,20:00 pm,1st semester ,2019-2020
1813001,Wednesday,19:00 pm,20:00 pm,1st semester ,2019-2020
1813001,Wednesday,20:00 pm,20:00 pm,1st semester ,2019-2020
