student_number,start_time,end_time,day,semester,academic year
1511018,10:00,13:00,Wednesday,1st semester ,2019-2020
1513057,14:00,17:00,Wednesday,1st semester ,2019-2020
1511894,18:00,21:00,Wednesday,1st semester ,2019-2020
1813970,11:30,14:30,Wednesday,1st semester ,2019-2020
1211256,11:30,14:30,Wednesday,1st semester ,2019-2020
1811045,15:00,18:00,Wednesday,1st semester ,2019-2020
1710267,17:30,20:30,Wednesday,1st semester ,2019-2020
1810263,17:00,20:00,Wednesday,1st semester ,2019-2020
1512280,14:00,17:00,Wednesday,1st semester ,2019-2020
1413348,11:30,14:30,Wednesday,1st semester ,2019-2020
1511846,16:00,19:00,Wednesday,1st semester ,2019-2020
1510941,17:00,20:00,Wednesday,1st semester ,2019-2020
1810806,7:30,10:30,Wednesday,1st semester ,2019-2020
1511038,14:00,17:00,Wednesday,1st semester ,2019-2020
1812924,8:00,11:00,Wednesday,1st semester ,2019-2020
1812644,14:00,17:00,Wednesday,1st semester ,2019-2020
1810972,14:00,17:00,Wednesday,1st semester ,2019-2020
1811047,13:00,16:00,Wednesday,1st semester ,2019-2020
1830026,10:00,13:00,Wednesday,1st semester ,2019-2020
1814012,7:30,10:30,Wednesday,1st semester ,2019-2020
1813690,7:30,10:30,Wednesday,1st semester ,2019-2020
1811280,15:00,18:00,Wednesday,1st semester ,2019-2020
1813690,17:30,20:30,Wednesday,1st semester ,2019-2020
1813001,18:00,21:00,Wednesday,1st semester ,2019-2020
